,tweet,topic_1,compound_score,positive_score,negative_score,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sentiment
0,AnnCoulter St1Station Nah. Plenty of beauty queens in Ukrainian army. https://t.co/Xy129CIEQE https://t.co/DxiWQmxztU ,Ukrainian,0.5267,0.25,0.092,0,0,0,0,0,0,1
1,RT lapatina: Zelensky signed an official request to join the European Union. We are living history ,Zelensky,0.296,0.128,0.0,0,0,0,0,0,0,1
2,"RT scottlincicome: The centralizedstate responses to Ukraine are obvs important, but dont sleep on the private, bottomup, decentralized ",Ukraine,0.1027,0.076,0.0,0,0,0,0,0,0,1
3,RT SayTheirNames14: Hearing from friends on the ground in Ukraine that they are desperately in need of night vision tech (binoculars or go ,Ukraine,0.3612,0.184,0.094,0,0,0,0,0,0,1
4,Everyone should listen to what Putin has to say. Very important. RussiaUkraine https://t.co/TiHMSz4SHu ,Putin,0.2716,0.149,0.0,Ukraine,Russia,0,0,0,0,1
5,RT KyivIndependent: President Zelensky orders to temporarily lift visas for foreigners wishing to join the International Legion and figh ,Kyiv,0.4767,0.194,0.0,Zelensky,0,0,0,0,0,1
6,"RT ProjectLincoln: Hey MarcoRubio, where was all this energy when Trump was withholding aid from Ukraine ",Ukraine,0.3346,0.137,0.0,0,0,0,0,0,0,1
7,"nathaliejacoby1 At this point, any repug trying to sound like they care for Ukraine or even democracy is like poop https://t.co/3kIqAlaPjc ",Ukraine,0.802,0.313,0.0,0,0,0,0,0,0,1
8,RT UniNoticias: De comediante a hroe de Ucrania: cmo Zelensky se ha convertido en ejemplo de resistencia contra Rusia. https://t.c… ,Zelensky,0.34,0.118,0.0,0,0,0,0,0,0,1
9,"jaiazee JokerNov shareitarie10 selectedwisdom I dont agree. If US gets involved now, it would motivate Russia https://t.co/tktZjv4AWC ",Russia,0.1255,0.139,0.113,0,0,0,0,0,0,1
10,RT phildstewart: BREAKING The EU has asked its satellite centre in Madrid to provide intelligence to Ukraine about Russian troop movemen ,Ukraine,0.4767,0.134,0.0,Russian,Russia,0,0,0,0,1
11,RT spectatorindex: BREAKING: The Jerusalem Post reports that Russian billionaire Roman Abramovich is involved in RussiaUkraine peace talks ,Ukraine,0.5423,0.171,0.0,Russian,Russia,0,0,0,0,1
12,RT TinyPricks: Putin is doing very good PR for NATO. mollyjongfast notsosavvyafterall https://t.co/3JchtqWPUJ https://t.co/2vOgeRRJZ6 ,Putin,0.4927,0.197,0.0,NATO,0,0,0,0,0,1
13,sarahpegg9 Can you explain how exactly you know Vladimir Putin so well ,Putin,0.4101,0.199,0.0,0,0,0,0,0,0,1
14,RT thececilcharles: Ill be honest. I dont know whats happening in Ukraine. I dont understand it. I ignore most of the MSM bc I dont ,Ukraine,0.3839,0.206,0.107,0,0,0,0,0,0,1
15,RT OccupyDemocrats: BREAKING: The Biden administration expels 12 members of the Russian diplomatic mission to the United Nations from the ,Russian,0.0516,0.12,0.111,Russia,0,0,0,0,0,1
16,"RT nduesboy: As Ukraines neighbors like Poland are welcoming Ukrainian refugees, they are blocking African students from entry into safe ",Ukraine,0.6908,0.309,0.097,Ukrainian,0,0,0,0,0,1
17,"RT McFaul: For decades, promarket liberals in Russia have worked for Putin, believing it was better to be on the inside than out. I know ",Putin,0.4404,0.112,0.0,Russia,0,0,0,0,0,1
18,RT Bubblebathgirl: Why did Hillary Clinton just say we have to call out people giving aid to Putin didnt she give US uranium supplies t ,Putin,0.34,0.094,0.0,0,0,0,0,0,0,1
19,"RT nytimes: In Opinion The idealism of Ukrainians has turned out to be a powerful weapon, writes Michelle Goldberg. Theyve shown olde ",Ukrainian,0.5106,0.214,0.086,0,0,0,0,0,0,1
20,YotsuOno Breaking911 The media wants you to believe Ukraine is winning ,Ukraine,0.5267,0.254,0.0,0,0,0,0,0,0,1
21,RT AlexandraChalup: Australia honoring Ukraine by lightingup the Sydney Opera House in blue and yellow. https://t.co/huV6n9BCid ,Ukraine,0.5106,0.18,0.0,0,0,0,0,0,0,1
22,julieta98 Por favor nos colaboras pidiendole a Putin que acaben la guerra contra Colombia desde Cuba y desde Ven https://t.co/fR5WXhRc7N ,Putin,0.4019,0.137,0.0,0,0,0,0,0,0,1
23,pittmandiaz compassionusa Sure you have some spy working for you who knows what President Putin is doing ,Putin,0.3182,0.126,0.0,0,0,0,0,0,0,1
24,RT StarlyNFT: Buy pack support Ukraine All profits go to Ukrainian humanitarian and defense support LEGEND LIVES FOREVER by Vl ,Ukraine,0.8316,0.38,0.0,Ukrainian,0,0,0,0,0,1
25,NoahHansen1 RALee85 Yep makes you wonder who has the contracts to replace this equipment Russia is basically dr https://t.co/9H6ce3iv0Z ,Russia,0.296,0.109,0.0,0,0,0,0,0,0,1
26,"RT johnpavlovitz: If you love the guy who loves Putin, you cant troll me because I dont respect you enough to be upset by what you think ",Putin,0.5784,0.225,0.147,0,0,0,0,0,0,1
27,"RT artiomboy: Hey guys Im doing ok people in Ukraine who are my friends being Optimistic now. Im too. Spring is coming., ",Ukraine,0.765,0.286,0.0,0,0,0,0,0,0,1
28,"RT StationCDRKelly: Mr. Putin, in 2011 I spoke with you from the ISS after my brothers wife was shot. You seemed kind and sincere and as ",Putin,0.7269,0.21,0.0,0,0,0,0,0,0,1
29,"MichaelRosenYes Ironically, the muchmaligned Corbyn cares more about the people of Ukraine than Starmer and his motley crew. ",Ukraine,0.4588,0.15,0.0,0,0,0,0,0,0,1
30,"RTcom For sure is good, as Zelensky has no capacity to lead... anything ",Zelensky,0.4588,0.299,0.126,0,0,0,0,0,0,1
31,"RT Celestepewter: There are verified reports of the Russians dropping cluster munitions on Ukraine today, and I really want to encourage ",Ukraine,0.6318,0.223,0.0,Russian,Russia,0,0,0,0,1
32,RT PiyushGoyal: Welcome back to the motherland Glad to see the smiles on the faces of Indians safely evacuated from Ukraine at the Mumb ,Ukraine,0.9062,0.381,0.0,0,0,0,0,0,0,1
33,"RT MuellerSheWrote: Donald worshipped Putin, which makes me wonder if any of the call transcripts between them found their way into those ",Putin,0.5719,0.15,0.0,0,0,0,0,0,0,1
